STOPID,PROMEDIO,Nombre autobus
1111685,115,City College
1111686,99,BERNAL HTS
1111687,148,City College
1111688,184,City College
1111689,123,City College
1111690,391,Balboa Park Station
1111691,333,Balboa Park Station
1111692,61,City College
1111693,75,City College
1111694,166,City College
1111695,197,City College
1111696,272,City College
1111697,250,City College
1111698,223,City College
1111699,185,City College
1111700,254,BERNAL HTS
1111701,290,BERNAL HTS
1111702,280,BERNAL HTS
1111613,23,"San Jose Av., Daly City"
1111614,21,"San Jose Av., Daly City"
1111615,119,"San Jose Av., Daly City"
1111616,19,"San Jose Av., Daly City"
1111617,84,Balboa Park Station
1111618,515,Balboa Park Station
1111619,106,Balboa Park Station
1111621,301,Sacramento & Cherry
1111622,274,City College
1111623,168,City College
1111624,155,BERNAL HTS
1111625,195,BERNAL HTS
1111626,153,City College
1111627,135,City College
1111628,183,City College
1111629,155,City College
1111630,98,"San Jose Av., Daly City"
1111635,94,10th Street
1111636,51,"San Jose Av., Daly City"
1122190,20,Fisherman's Wharf
1122193,117,Balboa Park Station
1111669,212,Lake Merced
1111663,79,City College
1111664,210,City College
1111665,182,"San Jose Av., Daly City"
1122195,183,Lake Merced
1111668,165,Lake Merced
1110718,67,Ferry Plaza
1122197,225,California & 25th Av.
